2857,4666666666667
3108,4
3187,0
3250,3333333333335
3321,7
3345,4
3451,9
3525,7
3525,1
3514,9
3559,3
3524,5
3562,3
3561,7
3602,5
3624,1
3623,8
3624,7
3625,0
3625,0
3625,0
3624,7
3625,0
3625,0
3624,1
3625,0
3624,7
3622,9
3625,0
3625,0
3624,7
3623,5
3624,7
3625,0
3623,8
3624,4
3624,7
3624,4
3623,2
3624,7
3624,7
3625,0
3625,0
3624,4
3624,7
3625,0
3625,0
3624,1
3625,0
3624,7
3623,5
3623,2
3625,0
3624,4
3624,7
3623,8
3624,7
3624,7
3625,0
3624,4
3624,7
3624,7
3623,2
3623,8
3625,0
3623,8
3625,0
3624,7
3624,4
3624,7
3625,0
3625,0
3624,7
3623,8
3624,7
3624,7
3623,2
3624,7
3624,4
3624,7
3623,5
3625,0
3625,0
3624,7
3625,0
3624,7
3624,1
3624,7
3625,0
3624,1
3624,7
3624,7
3625,0
3625,0
3624,7
3623,8
3624,7
3625,0
3625,0
3624,1
3625,0
3624,4
3623,8
3624,7
3624,7
3624,7
3624,7
3624,7
3625,0
3625,0
3623,5
3624,4
3624,7
3625,0
3624,7
3624,4
3620,8
3623,8
3624,7
3604,0
3623,5
3624,1
3624,7
3624,4
3623,8
3625,0
3624,4
3624,7
3624,4
3625,0
3625,0
3625,0
3624,4
3624,4
3624,7
3625,0
3624,7
3625,0
3624,1
3624,4
3625,0
3623,8
3625,0
3624,7
3624,4
3625,0
3622,9
3625,0
3623,5
3625,0
3625,0
3624,4
3624,1
3625,0
3624,4
3623,5
3625,0
3625,0
3624,1
3625,0
3625,0
3623,2
3624,4
3624,1
3624,7
3625,0
3625,0
3624,4
3624,7
3624,1
3624,1
3625,0
3624,1
3625,0
3624,7
3624,7
3624,4
3625,0
3624,7
3624,1
3624,7
3625,0
3624,7
3624,7
3624,7
3624,1
3625,0
3624,7
3625,0
3624,7
3624,7
3624,7
3624,4
3624,7
3624,7
3624,4
3623,8
3625,0
3624,7
3624,1
3624,7
3624,7
3623,8
3625,0
3624,7
3624,7
3624,4
3624,7
3623,8
3624,7
3622,9
3624,7
3624,7
3624,7
3624,4
3624,7
3625,0
3625,0
3624,7
3625,0
3624,4
3625,0
3624,1
3624,7
3625,0
3624,7
3624,1
3624,7
3624,7
3624,4
3624,4
3624,7
3624,4
3625,0
3623,8
3625,0
3625,0
3624,7
3625,0
3624,7
3624,1
3624,7
3624,7
3625,0
3624,4
3625,0
3625,0
3625,0
3624,7
3624,7
3624,1
3622,6
3624,7
3624,1
3624,7
3624,7
3625,0
3624,7
3624,7
3624,7
3624,7
3625,0
3624,4
3624,4
3625,0
3624,7
3625,0
3624,4
3624,4
3624,1
3624,4
3623,8
3624,4
3624,7
3623,5
3624,1
3624,7
3624,4
3624,7
3624,7
3625,0
3624,4
3624,4
3624,7
3624,4
3624,7
3624,4
3625,0
3624,7
3624,4
3624,1
3623,2
3624,4
3625,0
3624,7
3624,7
3624,7
3624,7
3624,4
3624,1
3624,4
3622,0
3625,0
3625,0
3624,1
3624,1
3624,7
3623,5
3624,7
3625,0
3625,0
3624,4
3624,4
3624,7
3624,7
3624,7
3624,1
3625,0
3624,7
3625,0
3624,1
3625,0
3623,8
3625,0
3624,4
3625,0
3624,7
3624,4
3624,7
3624,7
3625,0
3625,0
3625,0
3624,4
3625,0
3623,8
3625,0
3625,0
3625,0
3625,0
3624,7
3623,2
3624,7
3624,4
3624,4
3623,8
3624,7
3624,4
3625,0
3625,0
3624,7
3624,4
3624,7
3624,4
3624,4
3624,1
3624,1
3623,8
3624,7
3624,4
3624,7
3622,9
3625,0
3624,7
3623,8
3625,0
3625,0
3625,0
3624,7
3624,4
3624,1
3623,5
3625,0
3624,7
3625,0
3624,7
3625,0
3625,0
3624,7
3624,4
3624,7
3624,7
3625,0
3625,0
3625,0
3623,2
3623,8
3625,0
3623,5
3625,0
3624,7
3624,7
3624,7
3624,7
3623,8
3624,1
3625,0
3625,0
3625,0
